number,value,datetime_start,datetime_complete,duration,params_T_max,params_affine_degrees,params_blur_sigma,params_brightness,params_contrast,params_erase_p,params_gamma,params_grayscale_p,params_horizontal_flip_p,params_hue,params_lr,params_momentum,params_nms_thresh,params_optimizer,params_perspective_distortion,params_perspective_p,params_saturation,params_scale_max,params_scale_min,params_scheduler,params_score_thresh,params_shear,params_step_size,params_translate,params_vertical_flip_p,params_warmup_epochs,params_weight_decay,state
0,0.03321852535009384,2025-05-31 21:10:50.805978,2025-05-31 21:14:05.490469,0 days 00:03:14.684491,40.0,23,1.4208950695022828,0.03746954147470022,0.010694741234312355,0.43502434840326976,,0.2708857191518337,0.7529369684402298,0.1971152431428344,2.2183856315997143e-05,0.5121030422196143,0.31900478140467936,SGD,0.5857670875573654,0.27450823577059863,0.41421225701751135,1.2135744717758605,0.8058577283060043,CosineAnnealingLR,0.4192466781626884,13.834727831272222,,0.22018222780711752,0.7155291633178738,5,0.00034103246964502053,COMPLETE
1,0.15772061049938202,2025-05-31 21:14:05.491248,2025-05-31 21:17:19.858598,0 days 00:03:14.367350,15.0,10,1.2246544270760837,0.40454901917180985,0.05839418304714544,0.3723087287059834,,0.2348307545191892,0.3888276012167663,0.07568334331338733,0.00020358229051491795,,0.40095562464583884,Adam,0.5574637488998372,0.1255273704037433,0.3527714741910137,1.0731170426152574,0.7591236136409193,CosineAnnealingLR,0.22685358307968836,9.183039525459893,,0.2444190436432568,0.745946450394325,1,0.0008141494759711283,COMPLETE
2,0.05100143328309059,2025-05-31 21:17:19.859285,2025-05-31 21:20:44.395694,0 days 00:03:24.536409,34.0,32,0.16061732567885173,0.4768294855483184,0.3242472277502525,0.1625714047778134,,0.017497910773556658,0.8712482631007267,0.15117443136301653,3.1604289040157535e-05,0.7434592457525153,0.6188570514645084,SGD,0.28557373807371267,0.4888584536134853,0.49503053445131795,1.2932784387684635,0.8768163329591502,CosineAnnealingLR,0.1545565521170443,2.0059698309483,,0.005537614292291304,0.7518400323512958,2,0.0009961679669875773,COMPLETE
3,0.03931061923503876,2025-05-31 21:20:44.396370,2025-05-31 21:24:00.406009,0 days 00:03:16.009639,,37,1.2572426639018024,0.36291916868104457,0.3347841055586452,0.19508148750794801,0.42415366397519905,0.16733417788299085,0.6843676890872441,0.10058052133398183,6.427808897591714e-05,0.8044747521100746,0.3556322058010513,SGD,0.18439206457663912,0.2694151729709957,0.009624599611738671,1.1284052528840327,0.8623596315640728,StepLR,0.39418255553425546,10.835422185674677,10.0,0.03698937027071884,0.6057902232811886,4,0.0004836015355637196,COMPLETE
4,0.0012388980248942971,2025-05-31 21:24:00.406707,2025-05-31 21:27:05.901598,0 days 00:03:05.494891,37.0,31,0.3514948777535918,0.42536442738406594,0.09638131993019955,0.3350578734877485,,0.000568666974923282,0.7034167230092171,0.08528965941783687,0.0013450870229234347,,0.631287386236681,Adam,0.3446269542940559,0.12556760064215017,0.445302968804882,1.1896772997073561,0.8590082780865609,CosineAnnealingLR,0.4104599980174485,3.258744146742427,,0.27734501076961465,0.006883968871327473,1,0.0006208287643470593,COMPLETE
5,0.050276532769203186,2025-05-31 21:27:05.902314,2025-05-31 21:30:07.913920,0 days 00:03:02.011606,42.0,19,1.8942606473348882,0.21513771679851273,0.021888636559316943,0.13025377966281815,,0.2207751649479325,0.6480424698126362,0.17019438091452077,0.00013807720289492283,0.637512157049628,0.4707302263131804,SGD,0.24656267208591867,0.08038167318312056,0.4009413740227735,1.139926491986321,0.8513897520368996,CosineAnnealingLR,0.4167600254869693,14.474757608383605,,0.16849700240886015,0.581215854532653,3,0.00093196843244412,COMPLETE
6,0.1102476641535759,2025-05-31 21:30:07.914577,2025-05-31 21:33:48.914307,0 days 00:03:40.999730,48.0,7,0.6383760129303115,0.38001665086532643,0.12545135436354204,0.041023184909030064,,0.050727813144594944,0.5278025757557754,0.049120852658534275,3.71788995442435e-05,,0.5691542273251646,Adam,0.39652754418171865,0.4413419947731659,0.3158140631522698,1.0423855464188092,0.7240779178692225,CosineAnnealingLR,0.3457539691949657,7.166819775098949,,0.2581518771870138,0.8992757539103208,3,0.00016674664888586865,COMPLETE
7,0.001886234967969358,2025-05-31 21:33:48.915006,2025-05-31 21:37:05.753788,0 days 00:03:16.838782,26.0,29,0.7632899054534981,0.4804663935935302,0.15581470143572856,0.15194579692132948,,0.20385568408135302,0.7597481266097116,0.08448716561765297,0.0035452465467102415,,0.6665535997935035,Adam,0.478088793188743,0.34603776165140304,0.36070455864212997,1.1106233315309748,0.9481919597929638,CosineAnnealingLR,0.5818468639298479,13.520102306597,,0.06693684700378164,0.9429258256962291,4,6.664822197043829e-05,COMPLETE
8,0.08826921880245209,2025-05-31 21:37:05.754494,2025-05-31 21:40:05.636847,0 days 00:02:59.882353,40.0,3,0.9124671534873733,0.3063829957571656,0.2757057758545525,0.3212627532607231,,0.23596018941804883,0.09189896068436965,0.11496045903986195,0.0013856531167311793,,0.4872842457093005,Adam,0.49231882527781134,0.0336209544699716,0.21912416582875138,1.1257370767259907,0.9269327127532003,CosineAnnealingLR,0.28600114214266065,0.5807907734741247,,0.28963258159355454,0.49350666319583925,5,0.00041980199662785037,COMPLETE
9,0.05542319640517235,2025-05-31 21:40:05.637517,2025-05-31 21:43:40.138205,0 days 00:03:34.500688,46.0,29,0.1653070455891884,0.46441807721054945,0.1725381793008789,0.3221729404531861,,0.18867084145472887,0.9910702037043742,0.19880387975532796,0.00021580070787209358,0.633740411103576,0.565686871841466,SGD,0.23924373921554368,0.4680645548656096,0.22509816227993507,1.075043035185264,0.8171138958780095,CosineAnnealingLR,0.3895028034034325,14.870350775591403,,0.09573830906212633,0.5178418592481305,1,8.880547455513588e-05,COMPLETE
10,0.16434645652770996,2025-05-31 21:43:40.138897,2025-05-31 21:46:57.206139,0 days 00:03:17.067242,,12,1.881565422336064,0.19732812659517457,0.49972406282667164,0.4567712204332014,0.82712715314296,0.09762177507141645,0.21455408754171318,0.0075644851357755255,0.0005271750407115765,,0.40810798064778075,Adam,0.595152107812051,0.1747315399430106,0.13603048947363308,1.0118952215143118,0.7029444491532595,StepLR,0.024117962120496272,18.965703860233905,29.0,0.17662572321351405,0.3152662963742968,2,0.0007548921791362802,COMPLETE
11,0.23173069953918457,2025-05-31 21:46:57.206860,2025-05-31 21:50:13.038754,0 days 00:03:15.831894,,12,1.995088394321945,0.1808557144846245,0.4479693566448748,0.4990480484408354,0.891413843215688,0.09801359779421961,0.25532677481873284,0.0003249155362129025,0.0006537845963752804,,0.3996723333965516,Adam,0.59368967258586,0.1610113852280214,0.09061151248425685,1.011398364156372,0.7069438584748381,StepLR,0.010977458919106786,19.955769799834577,30.0,0.19473219002298917,0.272191506362371,2,0.0007354173112714635,COMPLETE
12,0.09813916683197021,2025-05-31 21:50:13.039452,2025-05-31 21:53:30.891796,0 days 00:03:17.852344,,15,1.9494970729382635,0.16575257815985608,0.49731316304775697,0.4793763576031881,0.8950519902907897,0.08605181444527113,0.17839785067158284,0.0008811899424895439,0.0007076205101456902,,0.41852280025864136,Adam,0.49409153631017777,0.18336908143491146,0.09682382974376287,1.0077942077747788,0.7005246235480715,StepLR,0.01817452070088635,19.989144906439854,30.0,0.1739383724603604,0.22782086857699368,2,0.0006935646343076477,COMPLETE
13,0.002186600351706147,2025-05-31 21:53:30.892476,2025-05-31 21:56:49.860124,0 days 00:03:18.967648,,12,1.6713495983174138,0.10857190638810985,0.49834646716187503,0.4962543998129899,0.8904922367742103,0.1165154060429339,0.2808985355555671,0.002492333068093762,0.006029854375889467,,0.41735932163790657,Adam,0.5999614592545974,0.21082346392499984,0.10327817187602167,1.0050959791870966,0.7564764865466639,StepLR,0.0295548359491063,19.955374023644602,29.0,0.12496861830536929,0.3163811581476673,2,0.0006693100565688144,COMPLETE
14,0.19065676629543304,2025-05-31 21:56:49.860810,2025-05-31 22:00:07.996379,0 days 00:03:18.135569,,0,1.6544933198009026,0.23402955001386383,0.40676708226113245,0.4205651964788788,0.702904444845686,0.12343917394848167,0.2935863075049102,0.03463727214032011,0.0006529572001989473,,0.3056037590776365,Adam,0.12090104929925338,0.33888311780884084,0.1081002286596426,1.047810024600809,0.753238693405143,StepLR,0.12703476569936778,17.277913066527226,24.0,0.20577084872459953,0.25998976195083034,2,0.0008174993514342512,COMPLETE
15,0.0928221344947815,2025-05-31 22:00:07.997077,2025-05-31 22:03:30.624821,0 days 00:03:22.627744,,2,1.6281307762454469,0.26764832511338743,0.4136667075012969,0.40262460032896974,0.6289545457833545,0.14154757931084377,0.0019280405729363848,0.034493927961946946,0.002030325868364625,,0.3023026878114099,Adam,0.15532937567471278,0.3432705222938686,0.032458202115027174,1.0549510244059128,0.7635381811090525,StepLR,0.12643025077969194,17.08928083636708,20.0,0.21450110076695098,0.10034669198012613,3,0.00085141691035789,COMPLETE
16,0.16563618183135986,2025-05-31 22:03:30.625497,2025-05-31 22:07:00.749621,0 days 00:03:30.124124,,44,1.6261389233605434,0.11097198749653378,0.4039103073670083,0.2434525690487096,0.6312736002182935,0.04974312990819381,0.3903271412585807,0.036783813047410324,0.0005429020255307293,,0.3611482684184836,Adam,0.10735338553660974,0.369746335423368,0.15163764795506832,1.0895424014587705,0.7881526362914573,StepLR,0.125721191773584,17.016450222339902,21.0,0.1402053865567325,0.39339378407199366,2,0.0005586288240713072,COMPLETE
17,0.17770105600357056,2025-05-31 22:07:00.750420,2025-05-31 22:10:21.132412,0 days 00:03:20.381992,,0,1.4840147188450512,0.30311041820345364,0.412119858295548,0.39545631188402125,0.22049916645272694,0.1376442785809388,0.3675912622486216,0.057022764331077724,0.0001223463218552707,,0.35691731026097573,Adam,0.38783746370486144,0.30894964707930384,0.18346098476163392,1.0383128054511284,0.7388845485166312,StepLR,0.6652766203247786,17.679421429955493,24.0,0.20695873712468899,0.1250174822784863,1,0.0008435700774802867,COMPLETE
18,0.3372930884361267,2025-05-31 22:10:21.133122,2025-05-31 22:13:38.791786,0 days 00:03:17.658664,,6,1.7769110524292109,0.11678966626557583,0.22561436089275722,0.25552277556922964,0.6960675778288922,0.07556447388505476,0.4982361319060303,0.02349600081641403,0.0003336825278235338,,0.4565732203006242,Adam,0.3341624101206272,0.4162785072225592,0.059768752928858596,1.17413940851545,0.7897922786243348,StepLR,0.20069203420133314,11.64435679217306,12.0,0.11161758286445767,0.16380848811495613,4,0.0007439300401580282,COMPLETE
19,0.07056935876607895,2025-05-31 22:13:38.792493,2025-05-31 22:16:58.900732,0 days 00:03:20.108239,,20,1.9877143532846187,0.01070696099748722,0.23460132747244244,0.0011202157821910697,0.7344820929881343,0.06588300013507649,0.5319459419103671,0.0191721248592875,1.0712054347746857e-05,,0.45834093738779974,Adam,0.3204128205344781,0.41406775697717996,0.058129617970434685,1.1793699070926396,0.8242932058610799,StepLR,0.2074487151551999,6.258359917232854,13.0,0.10463936619495594,0.1486668737565146,4,0.00033658124664000445,COMPLETE
20,0.11043479293584824,2025-05-31 22:16:58.901403,2025-05-31 22:19:50.499396,0 days 00:02:51.597993,,6,1.0315562833386092,0.11964663049908089,0.22457003615362583,0.2508031228442282,0.47136086720446746,0.08007567365075897,0.45418998841091013,0.1295824841825735,0.0003807428621236886,,0.5425550203353822,Adam,0.4349303891955255,0.006442425647482264,0.2802617867817596,1.2426554438952757,0.7850950312678625,StepLR,0.5257177465822793,11.903478091764947,6.0,0.06311497908825672,0.43578859188612634,3,0.0005591015544123849,COMPLETE
21,0.1429615467786789,2025-05-31 22:19:50.500072,2025-05-31 22:23:15.655909,0 days 00:03:25.155837,,6,1.7646510470413248,0.15966652572317086,0.34947267961306994,0.4261417899380989,0.6913685257833331,0.11683790849341139,0.2607855293287373,0.02393529094586684,0.0009724311344118949,,0.5159876929204089,Adam,0.206820957193175,0.39616532896288037,0.08180614974901028,1.165637391769748,0.7303283716117178,StepLR,0.07202093308521795,15.85298554788367,14.0,0.18688904950402857,0.2610737791020821,4,0.0007491782437495625,COMPLETE
22,0.292645126581192,2025-05-31 22:23:15.656587,2025-05-31 22:26:11.204630,0 days 00:02:55.548043,,0,1.4161478949293762,0.06272394497872005,0.4394261980546545,0.2789787829667599,0.7283652304180684,0.16403943274518823,0.11238340711842884,0.061341871980903566,0.00031825943412338404,,0.4363404671230642,Adam,0.10455163265442566,0.2412205462510158,0.0038315264804020394,1.2291720478979493,0.7754401604020346,StepLR,0.22139205084370284,12.245486176181217,25.0,0.14805527487652442,0.01128507237170831,3,0.0009293064913321117,COMPLETE
23,0.3223944306373596,2025-05-31 22:26:11.205332,2025-05-31 22:29:12.699506,0 days 00:03:01.494174,,16,1.3759868073620793,0.0639378708301751,0.28523971965246836,0.2632804893827732,0.7839468562557994,0.17440396866134883,0.12611181345118147,0.06026081268675183,0.00030698609585067265,,0.4570501475104217,Adam,0.29229875270115707,0.23403795088601853,0.0016918579326366608,1.2340876776910825,0.7862961450284953,StepLR,0.2457859675621289,8.80655786894477,25.0,0.14369981648017358,0.01289701450037023,3,0.0009436792797232424,COMPLETE
24,0.20456407964229584,2025-05-31 22:29:12.700214,2025-05-31 22:32:00.894351,0 days 00:02:48.194137,,15,1.3690098381348919,0.0631047984464853,0.2869903029081465,0.27315824525158244,0.5674046767802815,0.16260134542336382,0.11263909550475255,0.06699241213425142,8.872807874925599e-05,,0.44415580784340186,Adam,0.29518076634030455,0.23440079560735017,0.018244690094151618,1.2512196262865323,0.8910650984124147,StepLR,0.2796637407177093,8.943604901295442,25.0,0.14751495488548538,0.015074194277992878,3,0.0009453009014446684,COMPLETE
25,0.3381360173225403,2025-05-31 22:32:00.895081,2025-05-31 22:35:08.325614,0 days 00:03:07.430533,,8,1.1790594250197073,0.07060353751223694,0.2273642218414321,0.22808119821821662,0.7640787005309974,0.1721546671189677,0.01430954344417712,0.052804088675655086,0.000256470752232592,,0.5120299277445164,Adam,0.2599228235272881,0.2903594032907341,0.05486360606894001,1.2213567709151372,0.7861770451876787,StepLR,0.22063783518948704,11.639393624642612,17.0,0.11480235277794869,0.07360956741969577,4,0.0009140960589932071,COMPLETE
26,0.027976490557193756,2025-05-31 22:35:08.326394,2025-05-31 22:38:11.402034,0 days 00:03:03.075640,,18,1.1196317349457863,0.0028266149847300803,0.2209504528366876,0.2011235879547357,0.7841549677795391,0.1964046319567718,0.020073410620418924,0.054679723886045,0.0001997384028277356,0.8928821681039845,0.5089592373571549,SGD,0.2568101593931764,0.30137675834001937,0.05894378154739338,1.2784326701809625,0.9900990504895539,StepLR,0.3015301216234478,7.112194504332885,16.0,0.10935306588093163,0.17068924609093264,5,0.0009998562529814528,COMPLETE
27,0.12230432033538818,2025-05-31 22:38:11.402721,2025-05-31 22:41:20.575693,0 days 00:03:09.172972,,9,0.8837362046255137,0.0901221517972715,0.19056270349539156,0.10878754085887402,0.5400271482963431,0.28206007094680857,0.5810056092603493,0.046058551763770335,5.531012939611221e-05,,0.5262538909412333,Adam,0.3651587024463714,0.3006550156494086,0.05101343546886713,1.2043076427393922,0.83152665195242,StepLR,0.21767172701516335,5.440183797874953,10.0,0.07612669836366866,0.06273591703275871,4,0.0008770756927856338,COMPLETE
28,0.3570181429386139,2025-05-31 22:41:20.576441,2025-05-31 22:44:37.988201,0 days 00:03:17.411760,,16,1.2482100326568988,0.13182881377835964,0.284034987093706,0.22733646551011616,0.8130826194369138,0.25412165049658875,0.060967216330037224,0.01939282696168569,0.0002432338755962581,,0.475966525788829,Adam,0.32691399049379627,0.41255530423921644,0.15399107984856564,1.2619711701916931,0.8018537765192832,StepLR,0.17538537388850628,10.801704774090801,18.0,0.1308902290870772,0.1825627898890063,4,0.0007916756146245541,COMPLETE
29,0.04180771857500076,2025-05-31 22:44:37.988876,2025-05-31 22:47:52.385196,0 days 00:03:14.396320,,23,0.6268150730597684,0.14142700351801657,0.195030675753465,0.19918487025496476,0.3113635662968737,0.259028269147944,0.02406649977957631,0.02030687291705992,0.00012146972675020617,0.5295733520639329,0.5860118456309147,SGD,0.33854031584885447,0.42578223274467697,0.16042665885660887,1.2175581705372491,0.7980239443413263,StepLR,0.4891363368592169,12.829295561423667,18.0,0.03910346194294184,0.3705691015169492,5,0.0006251535862680203,COMPLETE
30,0.0483054593205452,2025-05-31 22:47:52.385905,2025-05-31 22:51:15.883819,0 days 00:03:23.497914,,25,1.1540042200669725,0.14028722481863667,0.26281411876946403,0.0892081228578879,0.6260460878936679,0.2694205181254929,0.8088930872240949,0.019821055954916938,0.002775339451317607,,0.49834730720338727,Adam,0.4378491546236716,0.38937423814538646,0.17969580319332462,1.2598770720675367,0.8087696091166233,StepLR,0.17321303998008933,10.714440433014202,12.0,0.12133311739049464,0.17014387652331509,4,0.0007798803344775286,COMPLETE
31,0.374891072511673,2025-05-31 22:51:15.884514,2025-05-31 22:54:37.546443,0 days 00:03:21.661929,,17,1.4892938027945026,0.05485045326455941,0.30507850641084094,0.2315965948672969,0.803269647155384,0.18128526492986388,0.1568623978735951,0.039697123919511815,0.00032029509754267756,,0.4691623574543288,Adam,0.3049926929740068,0.4567447338588875,0.12697096215082743,1.2036798777289324,0.8029316886571722,StepLR,0.2577240878282279,8.884429203987192,17.0,0.09049426315884992,0.08660895598347876,4,0.0008986626250197375,COMPLETE
32,0.3462497889995575,2025-05-31 22:54:37.547123,2025-05-31 22:57:57.078009,0 days 00:03:19.530886,,8,1.518733221754994,0.02806618797134939,0.3158385018892184,0.22429266655141078,0.8067207972951859,0.22426888827901725,0.19581004283258296,0.03924777762471825,0.00020857627654088405,,0.4833415773150273,Adam,0.31661579848034793,0.45660264336692313,0.14418890955584332,1.2004160423476944,0.8352867604990695,StepLR,0.3335300298225108,10.176490237471016,17.0,0.0896371874501458,0.2041259898199945,5,0.000883195546293231,COMPLETE
33,0.29348209500312805,2025-05-31 22:57:57.078718,2025-05-31 23:01:17.075572,0 days 00:03:19.996854,,9,1.2689395086940949,0.021226519462163487,0.31356843970928766,0.22167757546911218,0.827362525120778,0.29649699230560234,0.18252483783914802,0.07165440219421709,0.000167308583302438,,0.47823171974179524,Adam,0.2704691345564671,0.49845648186678143,0.1361891986126104,1.2690239748152392,0.8294677488959469,StepLR,0.35908568777310973,9.783195483204572,19.0,0.08520221554204646,0.07965092355732574,5,0.0008675773498576274,COMPLETE
34,0.1849149614572525,2025-05-31 23:01:17.076277,2025-05-31 23:04:30.675081,0 days 00:03:13.598804,,21,1.5464115244335372,0.04534092609165079,0.3517015228853558,0.1634011181870869,0.8038201417011339,0.24808966779617656,0.0679482306187576,0.042710040671128255,6.545745921434166e-05,,0.5284634530311894,Adam,0.22291881798970511,0.4636329255274502,0.2032521330172452,1.2996953514376879,0.8997699895677574,StepLR,0.33592052664471733,8.087541971884857,16.0,0.04352141444568308,0.21307470276014165,5,0.0009041927766030064,COMPLETE
