                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1827,                 3.5913,                 2.0129,                0.03441,                0.32022,                0.04022,                0.01792,                  1.698,                 3.3378,                 1.5794,               0.099069,               6.86e-05,               6.86e-05
                      2,                 1.6443,                 3.1725,                 1.7541,                0.01722,                0.31795,                0.06269,                0.02821,                  1.955,                  3.044,                 1.6843,               0.097204,             0.00020377,             0.00020377
                      3,                 1.4917,                 2.6119,                 1.5397,                 0.0175,                0.32308,                0.06705,                 0.0295,                 1.7698,                  2.772,                 1.7138,               0.095336,             0.00033624,             0.00033624
                      4,                 1.5624,                 2.2064,                  1.463,                0.01708,                0.31538,                0.18401,                0.06573,                 2.0713,                 2.6764,                 2.1541,               0.093466,               0.000466,               0.000466
                      5,                 1.5539,                 1.7761,                 1.4365,                0.12591,                0.17436,                0.13161,                0.03551,                 2.5359,                 2.4537,                 2.5847,               0.091593,             0.00059305,             0.00059305
                      6,                 1.5034,                 1.4874,                 1.4789,                0.16444,                 0.1641,                0.15418,                0.05064,                 1.9809,                 2.2608,                 2.1488,               0.089717,              0.0007174,              0.0007174
                      7,                  1.406,                 1.3973,                 1.4553,                0.22968,                0.16154,                0.21034,                 0.0982,                 1.6515,                 2.0399,                 1.7574,               0.087839,             0.00083904,             0.00083904
                      8,                  1.399,                 1.3932,                 1.5312,                0.15526,                0.50171,                0.35471,                0.19763,                 1.5692,                 1.9655,                 1.6543,               0.085958,             0.00095798,             0.00095798
                      9,                 1.5048,                 1.2711,                 1.4918,                0.53596,                0.25897,                0.44615,                0.24848,                 1.4595,                 1.9597,                 1.5372,               0.084074,              0.0010742,              0.0010742
                     10,                 1.3562,                 1.1786,                 1.4239,                0.40466,                0.26202,                0.38911,                0.21839,                 1.3852,                 2.0212,                 1.5153,               0.082188,              0.0011877,              0.0011877
                     11,                 1.3378,                 1.1272,                 1.3672,                0.17515,                0.38811,                0.29116,                0.14971,                  1.515,                 2.0929,                 1.7081,               0.080299,              0.0012986,              0.0012986
                     12,                 1.2476,                 1.0886,                 1.3795,                0.41177,                0.26689,                0.37356,                0.20365,                 1.4608,                 2.0055,                 1.5988,               0.078407,              0.0014067,              0.0014067
                     13,                 1.2405,                 1.0642,                  1.367,                0.44682,                0.26459,                0.45317,                0.27963,                 1.2767,                 1.9439,                  1.478,               0.076512,              0.0015121,              0.0015121
                     14,                 1.2359,                 1.0149,                 1.3507,                0.62463,                0.25432,                0.40191,                0.24647,                 1.2975,                 1.9424,                 1.4278,               0.074615,              0.0016148,              0.0016148
                     15,                 1.2124,                0.97788,                 1.3981,                0.61615,                0.21026,                0.32728,                0.19828,                 1.2494,                 1.9856,                 1.4092,               0.072715,              0.0017148,              0.0017148
                     16,                 1.2592,                 1.0427,                 1.4377,                0.58617,                0.24965,                 0.2784,                0.15392,                 1.2267,                 2.0728,                 1.4138,               0.070812,              0.0018121,              0.0018121
                     17,                 1.2597,                  1.003,                 1.3956,                 0.2848,                0.25579,                0.30368,                0.19409,                 1.1411,                 1.9391,                 1.3156,               0.068907,              0.0019066,              0.0019066
                     18,                 1.2863,                 1.0633,                 1.4159,                0.33426,                0.23537,                0.32023,                0.20246,                 1.2118,                 1.8919,                 1.3289,               0.066999,              0.0019985,              0.0019985
                     19,                 1.2566,                0.97867,                 1.3432,                0.29167,                0.29837,                0.31652,                0.17772,                 1.2716,                 1.8284,                 1.3752,               0.065088,              0.0020877,              0.0020877
                     20,                 1.3136,                0.94383,                 1.3327,                0.26647,                0.27514,                 0.2974,                 0.1785,                 1.2026,                 1.8343,                 1.3675,               0.063174,              0.0021742,              0.0021742
                     21,                 1.2352,                0.95072,                 1.3351,                  0.298,                0.29021,                0.32944,                0.20101,                 1.1345,                 1.6242,                  1.332,               0.061258,              0.0022579,              0.0022579
                     22,                 1.1968,                0.91972,                  1.299,                 0.2633,                0.28402,                 0.3206,                0.18003,                 1.3356,                 1.6574,                 1.4106,               0.059339,               0.002339,               0.002339
                     23,                 1.1211,                0.90528,                 1.3207,                0.24739,                0.27436,                0.31745,                0.16947,                 1.4161,                 1.6876,                 1.4754,               0.057417,              0.0024173,              0.0024173
                     24,                 1.2141,                0.90128,                  1.333,                0.60698,                 0.2641,                0.37407,                0.20683,                 1.3903,                 1.6785,                 1.4154,               0.055493,               0.002493,               0.002493
                     25,                 1.1493,                0.98588,                 1.3551,                0.55594,                0.24359,                0.45034,                0.29985,                 1.2009,                 1.8412,                 1.3259,               0.053566,              0.0025659,              0.0025659
                     26,                 1.2177,                0.97182,                 1.3502,                0.54523,                0.28044,                0.44431,                 0.2903,                 1.1918,                 1.8479,                 1.3424,               0.051636,              0.0026362,              0.0026362
                     27,                 1.2195,                0.94157,                 1.3326,                0.39536,                0.45399,                0.44092,                0.27938,                 1.1941,                 1.6473,                 1.3933,               0.049704,              0.0027037,              0.0027037
                     28,                 1.1736,                0.91449,                 1.2812,                0.39536,                0.45399,                0.44092,                0.27938,                 1.1941,                 1.6473,                 1.3933,               0.047769,              0.0027685,              0.0027685
                     29,                 1.1408,                0.88824,                 1.3145,                0.40124,                0.43901,                0.42016,                0.25863,                 1.3531,                 1.6735,                 1.5252,               0.045831,              0.0028306,              0.0028306
                     30,                 1.1328,                0.86142,                 1.2791,                0.37409,                0.32808,                0.34305,                0.23467,                 1.3403,                 1.9047,                 1.6679,                0.04389,                0.00289,                0.00289
                     31,                 1.2474,                0.92846,                  1.348,                0.37409,                0.32808,                0.34305,                0.23467,                 1.3403,                 1.9047,                 1.6679,               0.041947,              0.0029467,              0.0029467
                     32,                 1.1695,                0.84478,                  1.278,                0.59997,                0.29975,                0.23355,                0.17493,                 1.2755,                 2.4287,                  1.574,               0.040001,              0.0030007,              0.0030007
                     33,                 1.0728,                0.82343,                 1.2714,                0.63395,                0.42885,                 0.3057,                0.22802,                 1.1738,                 2.6076,                 1.4092,               0.038052,               0.003052,               0.003052
                     34,                 1.1042,                0.86814,                 1.3233,                0.63395,                0.42885,                 0.3057,                0.22802,                 1.1738,                 2.6076,                 1.4092,               0.036101,              0.0031006,              0.0031006
                     35,                  1.205,                0.87254,                 1.3526,                0.63506,                0.45492,                0.29834,                 0.2174,                 1.2778,                 2.3916,                  1.397,               0.034147,              0.0031465,              0.0031465
                     36,                 1.1341,                0.83358,                 1.3077,                0.62408,                0.29038,                 0.2963,                0.21151,                 1.3016,                  1.819,                 1.4181,                0.03219,              0.0031897,              0.0031897
                     37,                 1.0551,                0.86448,                 1.3182,                0.62408,                0.29038,                 0.2963,                0.21151,                 1.3016,                  1.819,                 1.4181,                0.03023,              0.0032302,              0.0032302
                     38,                 1.0566,                0.86749,                 1.2886,                0.49082,                0.45032,                0.48693,                0.34616,                 1.1644,                 1.6084,                 1.3512,               0.028268,              0.0032679,              0.0032679
                     39,                0.96139,                0.83535,                 1.2649,                0.88563,                0.39008,                0.48055,                0.32803,                 1.2047,                 1.5946,                 1.3586,               0.026303,               0.003303,               0.003303
